,Label,ECG_Rate_Mean,HRV_MeanNN,HRV_SDNN,HRV_SDANN1,HRV_SDNNI1,HRV_RMSSD,HRV_SDSD,HRV_CVNN,HRV_CVSD,HRV_MedianNN,HRV_MadNN,HRV_MCVNN,HRV_IQRNN,HRV_Prc20NN,HRV_Prc80NN,HRV_pNN50,HRV_pNN20,HRV_MinNN,HRV_MaxNN,HRV_HTI,HRV_TINN,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1,HRV_SD2,HRV_SD1SD2,HRV_S,HRV_CSI,HRV_CVI,HRV_CSI_Modified,HRV_PIP,HRV_IALS,HRV_PSS,HRV_PAS,HRV_GI,HRV_SI,HRV_AI,HRV_PI,HRV_C1d,HRV_C1a,HRV_SD1d,HRV_SD1a,HRV_C2d,HRV_C2a,HRV_SD2d,HRV_SD2a,HRV_Cd,HRV_Ca,HRV_SDNNd,HRV_SDNNa,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_DFA_alpha2,HRV_MFDFA_alpha2_Width,HRV_MFDFA_alpha2_Peak,HRV_MFDFA_alpha2_Mean,HRV_MFDFA_alpha2_Max,HRV_MFDFA_alpha2_Delta,HRV_MFDFA_alpha2_Asymmetry,HRV_MFDFA_alpha2_Fluctuation,HRV_MFDFA_alpha2_Increment,HRV_ApEn,HRV_SampEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,Condition,Participant
6,6,83.85956483545115,715.208722741433,41.068959369285366,15.123294152511853,37.967668970278915,22.062694758347178,22.096779684238903,0.05742234128782136,0.03084791062639686,718.0,32.6172,0.045427855153203335,46.0,686.0,746.0,1.557632398753894,36.44859813084112,576.0,818.0,7.829268292682927,195.3125,0.015396618318459464,0.012295957897357965,0.005313654250747067,0.00016258460646717993,2.31403048017835,0.3707083858824775,0.16020030378074615,-5.237475497602609,15.624782757110466,55.729697619029515,0.28036726242302834,2735.587099905584,3.566750238090079,4.1440206570431695,795.0956490054465,0.5077881619937694,0.49019607843137253,0.6866666666666666,0.06818181818181818,49.5997215454229,49.6400340824264,49.55673552816721,47.385620915032675,0.44105184766698335,0.5589481523330166,10.376909500602723,11.681778539386038,0.46540483796141524,0.5345951620385849,38.01912639560246,40.74733395970426,0.4636299896600857,0.536370010339914,27.866953750531245,29.973397994446078,1.3431505048331949,1.869590633804556,1.5146553224711026,2.085115097086975,-1.3743590087696926,-1.8199938727971974,-0.19487450124041042,0.002310993473546711,0.26585430905193497,1.2077334457636955,0.400393413776686,1.3390288881201258,1.321365840697792,-0.11626159945173153,-1.0877750695701849,-0.5441142306905806,0.0003107724965532349,0.01954657760623989,1.1054486880311183,1.4079263066370122,6.0233144063747845,1.0035782104354292,1.2467760217122044,1.3276900934230864,1.7640054586591276,1.6629744913136235,1.6711056561092468,2.2543078637363854,0.7262929147645621,Normal,13
7,7,82.39029706769003,728.4801324503311,378.36324073742236,468.7830378523967,226.14127288699123,240.1647459964776,240.2016349407936,0.5193871787069221,0.3296791982351727,700.0,80.0604,0.114372,108.0,640.0,774.0,3.062913907284768,38.658940397350996,528.0,7352.0,19.174603174603174,148.4375,0.00020534698565118529,0.00010066055131988693,1.526756858284226e-05,7.574583692629148e-07,6.593096390803809,0.3125787966706996,0.04741001467939877,-11.089779679778498,169.84820491873072,470.4243191725084,0.36105319813716097,251015.5343256674,2.7696749541603802,6.1066707089852885,5211.689818560181,0.49834437086092714,0.4796888504753673,0.7189189189189189,0.06956521739130435,58.11035969812801,52.82896140065779,64.00788088899336,47.88245462402766,0.5587545181839128,0.4412454818160872,126.9944567286344,112.85332943035289,0.9192779462202212,0.08072205377977892,451.0380549965395,133.65520197080488,0.8776811623060065,0.1223188376939937,331.33285310610415,123.69233399320348,1.0077306622297324,1.9950546478387725,1.0268390304661694,1.8706414439602375,-1.5514519260402313,-2.282218841662469,-0.0770529822788801,0.002686260532589312,0.26561850116294816,0.6912136142233869,1.5921394226018006,1.109249912246948,0.8144371485135282,0.155905801941838,0.5209853693494646,-0.6851676803854592,0.002048672391250774,0.1890304448963886,0.15943242229760846,0.1490683967695329,7.062400901959162,0.16891829209239886,0.30399354805069717,0.6558498357323668,0.6055225076812786,0.11954213532896714,1.599932717435168,1.344680026471019,0.40682402937715545,Anxious,13
8,8,39.65103333470056,1522.8327137546469,2844.6741265195906,2325.374555043778,1961.4029342208703,1968.322939466451,1972.0042339593047,1.868014852075153,1.2925404883202292,790.0,94.8864,0.12010936708860759,130.0,720.0,990.8,40.520446096654275,65.05576208178438,302.0,27062.0,17.933333333333334,484.375,0.002220155081524477,0.00016172276597498534,1.8442368132842048e-05,1.3764398596112454e-07,8.769088915809597,0.06737163301033888,0.007682854360032323,-10.900859924391527,1394.4175663612073,3780.8844694079344,0.36880724011637556,16562890.281958101,2.711443516359533,7.926106234921393,41006.618722722385,0.516728624535316,0.5077519379844961,0.732824427480916,0.08860759493670886,50.203830369357036,49.89316169405042,53.017746686998365,47.286821705426355,0.6138552314751691,0.3861447685248312,1092.5117162700205,866.4992679012535,0.6006890898282281,0.3993109101717719,2930.3417926765924,2389.180685737906,0.6022655114263539,0.39773448857364635,2211.389254755292,1797.0817079888798,0.9746625611857305,2.0095609843974205,1.344875118509418,1.4877542179111407,-0.3213483464577074,-0.2678977692690281,-0.4289003416611585,0.0017508910088393028,0.28427489493237335,0.994894254654867,1.4153861395116816,1.1491976481544333,1.1345740370940274,-0.745228734998868,-0.5241871080635572,-0.5103318879930894,0.0033939400359269145,0.12479036023602023,0.23322713170081677,0.06307586405452704,7.084564420221254,0.21551522412643653,0.0522826978475322,0.06847524081815355,0.06616576367377262,0.16365835562419598,1.7262109839084332,1.4611588076389792,0.3300597992123527,Normal,13
1,1,78.65007901907373,763.0745098039216,33.639917252145594,14.19466140854245,32.34891995659408,24.288294708408817,24.336201914026383,0.04408470839995645,0.03182951913129676,762.0,32.6172,0.04280472440944882,44.0,738.0,790.0,4.313725490196078,35.68627450980392,686.0,888.0,9.107142857142858,156.25,0.010190354083547196,0.03368751257350863,0.01558915882952066,0.0007015421164083493,2.160957684882634,0.5598855667595695,0.2590914068685144,-4.161179553139723,17.20829340173309,44.43496544593368,0.38726919733225207,2402.2185796893314,2.5821831606763817,4.087582631610701,458.9568780789074,0.5176470588235295,0.5040983606557378,0.7073170731707317,0.15384615384615385,50.12244897959185,50.12647044362568,50.1181959618061,49.18032786885246,0.47704217832354523,0.522957821676455,11.885487879527174,12.444342492837915,0.5072653947318979,0.4927346052681019,31.647722715632476,31.191149403248357,0.5033237388783884,0.4966762611216115,23.90442610919521,23.74604663070057,1.2855213725556849,0.8089297713359107,1.396040752632253,1.5366350692058153,-0.02905290466057764,-0.6407587343221088,-0.3261971291508072,7.026599086633347e-05,0.033145146031921965,0.6294103793144683,0.7610301451144346,0.7658249600751713,0.7677028760492355,0.4532631317429008,0.061858090904927554,-0.49753240264381143,8.069851809485402e-05,0.03145726450688994,1.086242415223336,1.7224476693378261,5.837967975526052,1.1924043646227593,1.6707020051743597,1.3625381165773685,2.1409220515382668,1.8088525154592,1.7460469192401795,2.7546773907556314,0.8151105465032561,Anxious,14
2,2,82.47856136095429,727.4478527607362,39.49951607364653,18.48797925000337,45.62762223470618,25.042679618386202,25.11898531092328,0.054298759593202434,0.03442539492466267,730.0,35.5824,0.048743013698630135,49.0,696.8,756.0,5.521472392638037,36.19631901840491,620.0,816.0,9.588235294117647,164.0625,0.007783594445968808,0.027906172718869103,0.012836921257141202,0.0006540210385124198,2.173899189678744,0.6741091186929137,0.31009217073793227,-4.355429786952753,17.761804849879127,53.05620214305433,0.33477339373045106,2960.554948006067,2.9870952074679162,4.17834323597578,633.9357085918662,0.4662576687116564,0.45454545454545453,0.6714285714285714,0.11363636363636363,49.32735426008969,49.34414830002311,49.311193635775105,48.701298701298704,0.44686798692861923,0.5531320130713807,11.874080546293923,13.210667626219152,0.5147446146934312,0.4852553853065687,38.06554612950925,36.959096088877054,0.5079034412532868,0.49209655874671343,28.195563400628057,27.753346850760916,1.3829466776425354,1.1151305971628256,1.48426720420973,1.9405119762239482,-0.4327876567653526,-1.4077898405987008,-0.09085978523500265,0.0011582016014912379,0.11896937373269359,1.1036428158317515,0.7029174660439454,1.1036428158317515,0.9976060799671458,0.6160602896760565,1.1894610139062554,-0.6508523276016824,0.00031977935546756333,0.0191985360288919,0.801232351060809,1.6229821375418576,5.846230476575092,1.0896360835847991,1.5217686059353626,1.3007954445502905,1.6468901762798054,1.8142057531635187,1.6210316802252622,2.512425689100205,0.9016844361019726,Normal,14
