,Feature,Pearson Coefficent Selector,Logistic Regression Selector,Random Forest Selector,Extra Tree Selector,Chi-2 Selector,Forward Feature Selector,Backward Feature Selector,Mutual Info Selector,Factor Analysis Selector,PCA selector,Total
1,HRV_ApEn,True,True,True,True,True,True,False,True,False,False,7
2,HRV_VLF,False,False,True,True,False,True,True,True,False,False,5
3,HRV_SDNNI1,False,False,True,False,False,False,True,True,False,False,3
4,HRV_C2d,False,False,True,False,False,False,True,False,True,False,3
5,HRV_AI,False,False,True,True,False,False,True,False,False,False,3
6,HRV_SI,True,False,False,True,False,False,False,False,False,False,2
7,HRV_RCMSEn,True,False,False,True,False,False,False,False,False,False,2
8,HRV_MFDFA_alpha2_Increment,False,False,False,False,True,False,False,True,False,False,2
9,HRV_LF,True,False,False,False,True,False,False,False,False,False,2
10,HRV_GI,True,False,False,False,False,False,False,False,False,True,2
11,HRV_DFA_alpha2,False,True,False,False,False,True,False,False,False,False,2
12,HRV_SD1d,False,False,False,False,False,False,False,False,True,False,1
13,HRV_SD1SD2,False,False,False,False,False,False,False,False,True,False,1
14,HRV_Prc80NN,False,True,False,False,False,False,False,False,False,False,1
15,HRV_PIP,False,False,False,False,False,True,False,False,False,False,1
16,HRV_MFDFA_alpha2_Max,False,False,False,False,False,False,False,True,False,False,1
17,HRV_MFDFA_alpha2_Fluctuation,False,False,False,False,True,False,False,False,False,False,1
18,HRV_MFDFA_alpha1_Width,False,False,False,False,False,False,True,False,False,False,1
19,HRV_MFDFA_alpha1_Increment,False,False,False,False,False,False,False,False,True,False,1
20,HRV_IQRNN,False,False,False,False,False,False,False,False,True,False,1
21,HRV_HTI,False,False,False,False,False,False,False,False,False,True,1
22,HRV_HFD,False,False,False,False,False,False,False,False,False,True,1
23,HRV_HF,False,False,False,False,True,False,False,False,False,False,1
24,HRV_DFA_alpha1,False,False,False,False,False,True,False,False,False,False,1
25,HRV_Cd,False,False,False,False,False,False,False,False,False,True,1
26,HRV_Ca,False,True,False,False,False,False,False,False,False,False,1
27,HRV_CVNN,False,False,False,False,False,False,False,False,False,True,1
28,HRV_CSI,False,True,False,False,False,False,False,False,False,False,1
29,HRV_pNN50,False,False,False,False,False,False,False,False,False,False,0
30,HRV_pNN20,False,False,False,False,False,False,False,False,False,False,0
31,HRV_VHF,False,False,False,False,False,False,False,False,False,False,0
