,Label,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Ratio,RRV_RMSSD,RRV_MeanBB,RRV_SDBB,RRV_SDSD,RRV_CVBB,RRV_CVSD,RRV_MedianBB,RRV_MadBB,RRV_MCVBB,RRV_VLF,RRV_LF,RRV_HF,RRV_LFHF,RRV_LFn,RRV_HFn,RRV_SD1,RRV_SD2,RRV_SD2SD1,RRV_ApEn,RRV_SampEn,Condition,Participant
1,1,19.068859280979066,10.647639963484828,0.002376320660177774,0.00398015376976832,0.5970424254025986,655.1938086011407,3182.190476190476,666.6618420266769,663.298667231602,0.2094977805429057,0.2058939631374608,3119.0,658.2744,0.21105302981724913,0.004412864029203495,0.01468863735571855,0.0009608313565595319,15.287425056894945,0.7321500218839364,0.04789230489497782,469.022985551465,817.8590723671127,1.7437505144987624,0.23210742893713876,1.203972804325936,Anxious,1
2,2,19.497039022976654,10.839291490086746,0.002270392751939851,0.00391391045270838,0.5800829577919356,531.1386215425476,3105.4444444444443,420.26759293716975,546.548313347987,0.13533251051681736,0.1710346557616705,3098.0,498.1536,0.1607984506132989,0.007786947045969245,0.03361006706102146,0.007041303951265073,4.77327314566259,0.5873864476943456,0.030692760910961746,386.4680186144317,451.5442059584427,1.16838699247954,0.020922105308264438,1.4325508487115224,Normal,1
3,3,16.821504089594704,9.877546695411144,0.0027553076045841794,0.00440805579817466,0.6250618709783868,625.1663397696267,3594.046511627907,728.1562480640295,632.7427382612143,0.2026006746735769,0.17394497754745541,3404.0,679.0308,0.19948025851938894,0.006540337804613859,0.004427000201206922,0.00017666978981843866,25.058048723307447,0.3972538679432061,0.01585334406240918,447.41668097104935,927.4919712742634,2.0729937231246813,0.3184308235391171,1.4325508487115224,Anxious,1
4,4,14.12381856178329,11.820876498469454,0.002898656684145089,0.005603302881236825,0.5173121542031054,475.4156076529251,4284.857142857143,386.19141565266506,520.7666143933063,0.09012935619019322,0.1109524989521396,4196.0,160.1208,0.03816034318398475,0.007786947045969245,0.003605196384149623,0.00041075916119002445,8.776910474022989,0.5873864476943456,0.030692760910961746,368.2376044530668,403.34685534200673,1.095344012844877,0.18232155679395445,1.4325508487115224,Normal,1
5,5,16.84785832585383,10.016374727589714,0.0028272332694209623,0.0043111884796823655,0.6557897625550493,793.2573462573822,3564.457142857143,746.5525925873976,799.0008434451662,0.20944355975310938,0.22254646765693334,3377.0,735.3696,0.21775824696476162,0.009180404020243055,0.0060529682984697825,0.00024257012110958138,24.953478486063606,0.3911211431553527,0.015674012878556867,564.9789145738481,891.8970641755058,1.5786377883646245,0.5155533918428756,2.833213344056216,Normal,1
6,6,15.472579414933456,10.367561515007486,0.003097617624794745,0.00470096407294503,0.658932418271848,792.3987692593985,3920.046511627907,602.0780661883977,801.9516727845872,0.15358952104330217,0.20214014474290845,3830.0,681.996,0.17806684073107049,0.004745237876625249,0.023667584538112116,0.001066360906004544,22.194722635500725,0.8028575378293915,0.036173353053991816,567.0654660098769,635.1635638395218,1.1200885998380632,0.2991229612482518,1.4325508487115224,Normal,1
7,7,17.08521509573991,11.359228393689675,0.0025348337536856224,0.004514158169500392,0.5615296714262379,820.8217303674887,3527.5324675324673,724.6693924053245,822.6116395663438,0.2054323805876224,0.23269005683784932,3484.0,759.0912,0.2178792192881745,0.016281014895177325,0.012997277729959563,0.00040098138166807016,32.41366887382973,0.4379243820781973,0.013510484844613512,581.6742686203457,843.7692230718008,1.4505871560609163,1.0718777398055073,2.1365999555197845,Anxious,1
8,8,13.133988410482651,10.708799686853826,0.003783354351968622,0.005397172841436424,0.7009881771660487,1138.7594820218785,4599.792207792208,958.2861667095606,1146.273101777953,0.20833249056037587,0.24756759231270936,4394.0,664.2048,0.15116176604460627,0.008989351581053647,0.0040158791561880425,4.3796342442509366e-05,91.69439574685059,0.3077531475461718,0.003356291789040358,810.5374833589281,1086.1186595782171,1.3399980653297612,0.5148209477200467,1.191394022119076,Anxious,1
1,1,12.211243341429931,0.43623881990031066,0.0061580164849918805,0.003893094288423633,1.5817794352690455,1966.7147022382276,5032.153846153846,1240.8261664651561,2007.2531811740475,0.24657953719231757,0.3908296054464667,4678.0,1174.2192,0.25100880718255664,0.0056053180010930855,0.044027864250856454,0.0006674599391033247,65.96330606748342,0.8752942772306758,0.013269411880829782,1419.3423359664387,1031.8752270030343,0.7270094048878097,0.11402604591606025,1.4325508487115224,Anxious,2
2,2,16.28600865328988,0.31771469669492086,0.003794628631479032,0.0031361063086884303,1.2099808673469383,582.0873768479388,3535.733333333333,543.642669757399,603.971471562638,0.15375669444077578,0.16462988635491144,3440.0,296.52,0.08619767441860464,0.007786947045969245,0.016775681673836904,0.0010767532207433415,15.579876011195708,0.5873864476943456,0.030692760910961746,427.0723231851594,639.2995663467444,1.4969351363693328,0.024913053640555738,1.4325508487115224,Normal,2
3,3,16.582872006418803,0.3325261211129491,0.004128889473726044,0.0031961356955091075,1.2918379778203877,950.657744060113,3660.6190476190477,635.535877300138,961.9533354129996,0.17361431742358044,0.25969862793519666,3646.0,419.57579999999996,0.11507838727372462,0.00691254084267914,0.057179758968243344,0.0029500697707028328,19.382510724355065,0.8528898862774522,0.04400306536168994,680.2037266555495,587.4815681493461,0.8636847243367761,0.38483152594808434,2.197224577336219,Anxious,2
4,4,20.22691559297682,0.3234589592469874,0.003068165846802529,0.0027764577711061307,1.1050648343123126,1010.3099434422002,2996.0,616.7050274718789,1057.8744727045832,0.2058427995567019,0.33721960729045397,3039.0,431.4366,0.14196663376110563,0.007786947045969245,0.018338425995973975,0.013001796402758899,1.4104532502972187,0.5873864476943456,0.030692760910961746,748.0302132935541,448.4428411940387,0.5994982999678029,0.030716580297483365,1.4325508487115224,Normal,2
5,5,16.893189706074835,0.22568828613462985,0.0035948279753149825,0.0035672953666872403,1.0077180625088833,971.0070373929669,3564.6857142857143,765.6322866387527,978.1200743239024,0.21478254971270835,0.2723962545987131,3599.0,469.9842,0.13058744095582106,0.0026291845328173915,0.006680706479172391,0.0014116312584927966,4.732614440902508,0.6231117476260851,0.13166332381542112,691.6353373691212,833.0823229367386,1.204510929279092,0.6250156326437617,2.0614230361771577,Normal,2
6,6,17.698217046869566,0.2053266046159039,0.004093435631542175,0.002825094266528,1.4489554136446385,1460.1327850575783,3463.2244897959185,1149.8058398650421,1475.576410392834,0.3320044205199063,0.42161078190562845,3458.0,1017.0636,0.29411902834008097,0.003620960496328281,0.023640068022878137,0.0007666507123714822,30.835513019680455,0.8434543519480422,0.027353342602398602,1043.390085947677,1247.1744333979946,1.1953098368432615,0.30154667504449284,1.4325508487115224,Normal,2
7,7,18.649960292472272,0.1963367288947113,0.0034425063351114986,0.0032177964470746093,1.069833468876249,2273.2193031029806,3332.922448979592,1813.4463109366418,2277.880801319041,0.5441009620526415,0.6820498640161728,3156.0,839.1515999999999,0.2658908745247148,0.010510429527751929,0.0022396917948673844,0.0001658640310483938,13.503179566484274,0.17340464033829112,0.012841763636817225,1610.7049613473407,1995.6965131979593,1.2390205289543383,1.0786238798317815,1.3780761602155045,Anxious,2
8,8,17.376452085246875,0.28481678897519125,0.004460024777915431,0.002846722885834215,1.5667224934711015,2202.7785827304756,3658.469387755102,1981.4401469018087,2213.9601254957647,0.5416035879741646,0.6021038716637007,3394.0,1876.9715999999999,0.5530263995285798,0.014255476535737908,0.013558641044794041,0.0009192094673330022,14.750327892219316,0.4718785618598082,0.03199105574518927,1565.506218014675,2324.091304761048,1.4845621678260637,0.7056650876437143,1.6266797188686064,Anxious,2
1,1,10.199757339678543,0.29380506780513577,0.007915389130054047,0.004186607022295782,1.890645357422044,2787.9477039571602,6150.952380952381,2370.2899079266754,2860.2732368558227,0.38535331784826343,0.4532546394913708,5382.0,1355.0964,0.2517830546265329,0.005819218963641487,0.003679100323039221,3.2632916687688555e-05,112.74200091428659,0.38601602909507465,0.0034238883997503985,2022.5186018271481,2673.19415690317,1.3217154860717721,0.15665085978043392,1.4325508487115224,Anxious,3
2,2,14.122450042299539,0.4525762353937813,0.004195219133895021,0.003963211269221645,1.0585403726708067,907.0545738818586,4210.333333333333,723.1581410519395,948.9693164883487,0.17175793073832782,0.21543533541648135,4521.0,346.92839999999995,0.07673709356337093,0.007786947045969245,0.034537296083556254,0.0027917489978598023,12.37120389764018,0.5873864476943456,0.030692760910961746,671.0226388268743,771.7797691836785,1.150154591703425,0.15674334039929105,1.4325508487115224,Normal,3
3,3,11.220464981360871,0.25969444461041696,0.006138008730795808,0.00445440121241168,1.377964947048988,1621.008282474785,5373.928571428572,1617.0260294423772,1651.8687509515912,0.30090203246086633,0.30164306445998523,5190.0,937.0032,0.18054011560693642,0.009069957640957568,0.004967707443455172,8.755909581699599e-05,56.73548130097178,0.3516905204526372,0.006198775658339456,1168.0475954280223,1966.0140321480858,1.683162603855757,0.30710942906749406,2.197224577336219,Anxious,3
4,4,12.341992962158843,0.35513093936275825,0.007374684345871976,0.0021671171414671068,3.402992946140153,1020.9995102839176,4836.571428571428,630.9545300951717,1088.5062547669013,0.13045491820256977,0.2110998514882864,4598.0,551.5272,0.11994936929099609,0.007786947045969245,0.013052282759247441,0.0018388359998137607,7.098122268962208,0.5873864476943456,0.030692760910961746,769.6901541096477,451.4247498331307,0.5865019156381492,0.18232155679395445,1.4325508487115224,Normal,3
5,5,13.034513367866793,0.39044819090942373,0.004971890543607055,0.004284106066619547,1.160543288679642,1548.1141540475187,4653.777777777777,1702.963174095977,1562.1307514931398,0.3659313476951531,0.3326575156725162,4724.0,1159.3932,0.24542616426756986,0.0026239356344630437,0.0020438202906679515,8.727788231745182e-05,23.417390940284943,0.42982245204365144,0.018354839492568227,1104.5932474808367,2140.103012070641,1.9374579891298576,0.395114509175821,1.5314763709643884,Normal,3
6,6,13.564655094404095,0.37499792899429824,0.004509133819488323,0.004664832337220315,0.9666229123628547,2212.9033030323376,4590.555555555556,1689.5220362904745,2242.690936195649,0.36804304312269803,0.4820556632528389,4697.0,1021.5113999999996,0.21748166915052153,0.005565948555986534,0.017342334836763795,0.00010949951068987421,158.37819482025776,0.753432027294507,0.0047571701909443495,1585.8219690895503,1787.2151813856003,1.1269961043683066,0.31926866820181266,1.4325508487115224,Normal,3
7,7,12.80736149921768,0.3040701896142294,0.004426953299911542,0.00500308731747052,0.884844300928519,1612.7792132519796,4724.71676300578,1270.499991125512,1617.4622272484596,0.2689050063431194,0.34134939598494757,4580.0,628.6224,0.13725379912663754,0.01706952667872367,0.008063377416904173,0.00014505137692581092,55.58980264646732,0.31898851256618604,0.005738255891909656,1143.7185092004822,1385.730286387679,1.2116008224404582,1.041791842243788,1.6615067680652305,Anxious,3
8,8,11.151949208911258,0.30583161502887873,0.005869426547319199,0.00498857316884083,1.1765742124381928,1556.4130161763223,5432.969696969697,1250.702952739249,1568.43431852866,0.23020613448973282,0.2864755562771554,5313.0,1227.5928,0.23105454545454543,0.006421833283704562,0.00866464877793112,0.0002590115430758882,33.452751468271245,0.5646379973903732,0.016878671338168175,1109.0505424773169,1377.8688784540134,1.2423860100877184,0.4550878695102605,2.0794415416798357,Anxious,3
1,1,10.638455806343417,1.291031073249124,0.0026562129749989924,0.008155119928234237,0.32571108682323463,1213.9686981137527,5523.391304347826,1803.6771969590454,1228.7740555747746,0.32655249240430456,0.21978683588073106,5010.0,1684.2335999999998,0.336174371257485,0.0005688014932444076,0.0009749656786737964,1.4883349567698645e-05,65.50714099934639,0.625519104657493,0.00954886894947429,868.8744672430188,2398.2410266345705,2.7601697564486005,0.1763799517460085,1.6094379124341003,Anxious,4
2,2,13.953071785780649,0.6487655770401781,0.0026388586836059635,0.005197406952517295,0.507726007933219,1079.097771288589,4029.0,1001.544443710449,1131.628336031354,0.2485838778134646,0.26783265606567114,4104.0,858.4254,0.20916798245614035,0.007786947045969245,0.008859978532406679,0.0016751381062953296,5.2891033277256545,0.5873864476943456,0.030692760910961746,800.1820701906195,1168.7134807128734,1.460559445470282,0.030716580297483365,1.4325508487115224,Normal,4
3,3,11.308250003998626,0.9294335085464549,0.004281482767412967,0.006511653854569587,0.6575108049406548,2472.98396523465,5491.851851851852,1796.5493357182029,2521.820135109987,0.32712997076066547,0.45030056016546766,5598.0,1269.1055999999999,0.22670696677384777,0.0023957662362572582,0.022579447113279857,0.0017655026496476976,12.78924566767744,0.844384537570654,0.06602301335916057,1783.1961184690472,1809.8040320476566,1.0149214734728413,0.1169133952070327,1.0986122886681096,Anxious,4
4,4,12.98558831684682,0.5008655223490921,0.002750648683712632,0.00639734580247581,0.42996717211192725,762.245804623854,4563.142857142857,475.5472036056388,833.0029211633454,0.10421484018657165,0.16704403707867319,4614.0,382.51079999999996,0.08290221066319896,0.007786947045969245,0.009552212270017,0.0016219477978918894,5.889346304753083,0.5873864476943456,0.030692760910961746,589.0220143028046,324.5664067351278,0.5510259359648902,0.18232155679395445,1.4325508487115224,Normal,4
5,5,13.099035086643495,0.4391815030353295,0.0029064226180748475,0.006410198032957742,0.45340605752452695,1629.4368745986715,4674.62962962963,1196.3337594547688,1645.029873869051,0.25592054435113704,0.34857026196699387,4663.0,621.2094,0.13322097362213167,0.006368036052337423,0.018535792401203954,0.002077890453102346,8.920485857918793,0.6869759656654001,0.07701104812083362,1163.2117790672569,1228.56309771275,1.0561817889240224,0.5314413480598605,0.9650808960435867,Normal,4
6,6,11.090635350256255,0.7040980095942471,0.0041440484684031375,0.00707088270038246,0.5860722973355206,2591.4169042106237,5618.206896551724,2153.894701287984,2637.6321381679245,0.3833776044470658,0.46125337708747477,5272.0,2126.0483999999997,0.4032716995447647,0.005382135891777414,0.007767706607705693,0.0006163795280843561,12.602148925755083,0.564258413975201,0.04477477748434023,1865.087571174112,2408.3133351631714,1.2912601919528568,0.22237890347504718,1.3862943611198906,Normal,4
7,7,15.315905603150382,0.3601735543233374,0.0023734047894858478,0.005689221763180793,0.4171756504283107,1629.855330392839,4037.7524752475247,1181.3119101126265,1633.92382334597,0.2925666982694894,0.40365409726927964,3955.0,554.4924,0.14020035398230088,0.017356553982534113,0.023289885919055023,0.001918689734313721,12.13843254724317,0.5471588156379174,0.04507656268701561,1155.3586154301859,1206.707142474564,1.0444437998372125,0.9259671694457867,1.34203935211585,Anxious,4
8,8,13.501383888071995,0.5161803618483806,0.004488306625177652,0.0056071297422700846,0.8004642003094672,4351.342068500413,4940.657142857143,2839.2660762527757,4383.207217204248,0.5746737719612032,0.8807213175662835,4734.0,2437.3943999999997,0.5148699619771863,0.01391288422110576,0.01367728366197225,0.0009240235701691211,14.80187746668512,0.47966584233671866,0.03240574335359228,3099.39554663094,2552.765353306873,0.8236332907175217,0.445640553340354,1.7635885922613588,Anxious,4
1,1,13.488593106977184,5.28610596176704,0.0030007337836104086,0.005975154536586322,0.5022018703008749,1633.74385997316,4501.241379310345,1136.8993439291805,1663.3112938705915,0.25257462289288957,0.362954065845603,4462.0,1037.82,0.23259076647243387,0.003283042873965978,0.02729437434689894,0.0006848361868252366,39.85533310298656,0.873077637461183,0.021906168371623996,1176.1386951200657,1096.2563597509807,0.9320808543239619,0.011309146026369454,0.6931471805599453,Anxious,5
2,2,12.199778566330064,5.527398552812567,0.0025437225915208206,0.007282792328861685,0.3492784740600189,3007.8007912759117,4917.090909090909,2267.286195192193,3168.7336131507036,0.46110316793214995,0.6117033113451233,4332.0,776.8824,0.17933573407202216,0.007786947045969245,0.004781213243268898,0.0003789779943501195,12.616070892105059,0.5873864476943456,0.030692760910961746,2240.6330256326128,2293.6296619686946,1.0236525284282636,0.34744933637548603,1.6094379124341005,Normal,5
3,3,13.944934329507598,4.938808427826899,0.002800359771916373,0.005836518324423235,0.4797997052794492,1024.9877490557074,4333.666666666667,729.5118524445937,1039.640361217411,0.16833594010720568,0.2365174407481826,4118.0,649.3788,0.1576927634774162,0.010786434013810782,0.038689828255526026,0.0013315636989783047,29.05593497720938,0.7614934809384258,0.026207846401629098,735.1367494120632,723.8432464133039,0.9846375480374345,0.20866292503301587,1.4325508487115224,Anxious,5
4,4,15.897152529148611,5.1619056822581975,0.002164116979296176,0.005412737024824165,0.3998193463622922,345.7607554364722,3799.777777777778,291.6649523759144,368.022417795438,0.07675842363247061,0.09099499382795045,3902.0,151.22519999999932,0.03875581752947189,0.007786947045969245,0.005652871763913574,0.003873038652988166,1.4595443708139122,0.5873864476943456,0.030692760910961746,260.23114725182296,320.0259972078657,1.229775914941419,0.039755402515464056,1.4325508487115224,Normal,5
5,5,14.186480419334359,4.153547822964681,0.0029364228515397,0.005568576668560327,0.5273201800593811,927.2759448870124,4256.466666666666,693.323938441346,935.2229399449,0.16288720028537268,0.21785109986851672,4171.0,673.1003999999999,0.16137626468472788,0.007616844144832564,0.025974833044507005,0.0009338817721769778,27.813834489945023,0.7523363509757945,0.027048997909575236,661.3024827562581,723.930378926073,1.0947038576186598,0.4158450139571297,1.4213856809311607,Normal,5
6,6,12.508643977574767,3.358948771597019,0.003329638943145533,0.006238072959917659,0.5337608207758896,2476.584206792358,4780.764705882353,2104.3582489511377,2514.9322434996016,0.44017189266016193,0.5180309760371844,4421.0,1197.9407999999999,0.27096602578602125,0.0048740228151374874,0.0019049547708857048,1.9032152924228802e-05,100.09139683091817,0.2802224245093037,0.0027996654396049265,1778.325643603266,2386.25337823971,1.3418540000382906,0.5563329420478809,1.3862943611198908,Normal,5
7,7,13.819317919802153,4.658682044849981,0.003244564044049025,0.005524400538138034,0.5873151343118553,1698.9785357281196,4385.677419354839,1549.9131495199742,1703.584916660341,0.3534033631110006,0.3873924990995006,4046.0,812.4648,0.2008069204152249,0.01246688709822678,0.0025578753923385955,7.713226123702852e-05,33.16219894653689,0.1693744681960066,0.005107455885813455,1204.6164468976465,1831.21838074369,1.5201671747549073,1.010706054663248,1.4300171721337223,Anxious,5
8,8,11.869625865946235,4.092934849391202,0.004252417990741578,0.005939118709389652,0.7160015145039234,2728.979519415876,5114.085714285714,2288.6824368824987,2748.824296766302,0.44752524004227795,0.5336202152014641,4442.0,1129.7412,0.2543316524088248,0.019075798282371853,0.0035075404710546254,0.00014423697506909172,24.317900936111975,0.15432972319423016,0.0063463422932631165,1943.7123005337949,2588.0720790855976,1.3315098527569356,0.7741802432412248,1.282225001225684,Anxious,5
1,1,28.57282881595686,2.750594464725491,0.002888533706507035,0.001725335717411666,1.6741864654841718,1672.4658441953306,2306.3508771929824,1161.9607887905327,1687.239514479429,0.5038091993204148,0.7251567230008203,2502.0,1020.0287999999999,0.40768537170263786,0.002631518847487306,0.02588210133138684,0.020886793238276368,1.2391610830884394,0.5239247921435666,0.42280604135642774,1193.0585021743025,1130.007592789997,0.947151871203803,0.6150395984328938,1.504077396776274,Anxious,6
2,2,24.381608816379156,2.2915732874817096,0.0033063729500042004,0.0018144251423006642,1.8222702457770004,1349.1370081154348,2571.090909090909,906.4317750225678,1382.327064874921,0.35254753996351906,0.5247332964171482,2792.0,885.1121999999999,0.3170172636103152,0.007786947045969245,0.04978462383556139,0.034322157895871175,1.4505097257171669,0.5873864476943456,0.030692760910961746,977.4528413907532,829.350992281476,0.8484818470643015,0.21196520375549976,1.3862943611198906,Normal,6
